year,level_1,level_2,level_3,value
2015,"$9,000 - $9,999","Total","Jurong West",5
2015,"$9,000 - $9,999","Total","Kallang",1.2
2015,"$9,000 - $9,999","Total","Marine Parade",0.6
2015,"$9,000 - $9,999","Total","Novena",0.4
2015,"$9,000 - $9,999","Total","Outram",0.2
2015,"$9,000 - $9,999","Total","Pasir Ris",2.9
2015,"$9,000 - $9,999","Total","Punggol",2.1
2015,"$9,000 - $9,999","Total","Queenstown",1.3
2015,"$9,000 - $9,999","Total","Sembawang",1.4
2015,"$9,000 - $9,999","Total","Sengkang",3.9
2015,"$9,000 - $9,999","Total","Serangoon",1.7
2015,"$9,000 - $9,999","Total","Tampines",4.8
2015,"$9,000 - $9,999","Total","Tanglin",0.1
2015,"$9,000 - $9,999","Total","Toa Payoh",2.3
2015,"$9,000 - $9,999","Total","Woodlands",4.2
2015,"$9,000 - $9,999","Total","Yishun",3.6
2015,"$9,000 - $9,999","Total","Others",0.3
2015,"$10,000 - $10,999","Total","Ang Mo Kio",2.5
2015,"$10,000 - $10,999","Total","Bedok",2.7
2015,"$10,000 - $10,999","Total","Bishan",0.9
2015,"$10,000 - $10,999","Total","Bukit Batok",2
2015,"$10,000 - $10,999","Total","Bukit Merah",1.7
2015,"$10,000 - $10,999","Total","Bukit Panjang",2.3
2015,"$10,000 - $10,999","Total","Bukit Timah",0.9
2015,"$10,000 - $10,999","Total","Choa Chu Kang",2.5
2015,"$10,000 - $10,999","Total","Clementi",1.1
2015,"$10,000 - $10,999","Total","Geylang",1.9
2015,"$10,000 - $10,999","Total","Hougang",2.7
2015,"$10,000 - $10,999","Total","Jurong East",1.2
2015,"$10,000 - $10,999","Total","Jurong West",3.4
2015,"$10,000 - $10,999","Total","Kallang",1.6
2015,"$10,000 - $10,999","Total","Marine Parade",0.4
2015,"$10,000 - $10,999","Total","Novena",0.8
2015,"$10,000 - $10,999","Total","Outram",0.4
2015,"$10,000 - $10,999","Total","Pasir Ris",2.3
2015,"$10,000 - $10,999","Total","Punggol",2.1
2015,"$10,000 - $10,999","Total","Queenstown",1.2
2015,"$10,000 - $10,999","Total","Sembawang",1.6
2015,"$10,000 - $10,999","Total","Sengkang",3.2
2015,"$10,000 - $10,999","Total","Serangoon",1.2
2015,"$10,000 - $10,999","Total","Tampines",4.2
2015,"$10,000 - $10,999","Total","Tanglin",0.1
2015,"$10,000 - $10,999","Total","Toa Payoh",1.2
2015,"$10,000 - $10,999","Total","Woodlands",3.4
2015,"$10,000 - $10,999","Total","Yishun",2.7
2015,"$10,000 - $10,999","Total","Others",0.7
2015,"$11,000 - $11,999","Total","Ang Mo Kio",1.8
2015,"$11,000 - $11,999","Total","Bedok",3
2015,"$11,000 - $11,999","Total","Bishan",1.4
2015,"$11,000 - $11,999","Total","Bukit Batok",1.8
2015,"$11,000 - $11,999","Total","Bukit Merah",1.4
2015,"$11,000 - $11,999","Total","Bukit Panjang",1.5
2015,"$11,000 - $11,999","Total","Bukit Timah",0.4
2015,"$11,000 - $11,999","Total","Choa Chu Kang",2.3
2015,"$11,000 - $11,999","Total","Clementi",1
2015,"$11,000 - $11,999","Total","Geylang",1.1
